,region,original_currency,converted_to_usd,first_date,last_date,observations
DIA,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IAI,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IBB,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IGV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IHI,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IJH,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IJR,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
ITOT,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IVOO,US,USD,False,2010-09-09 00:00:00,2025-12-01 00:00:00,3831
IVV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWB,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWL,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWM,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWR,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYF,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYW,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
KBE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
KRE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
MDY,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
MGC,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
OEF,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
OIH,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
QQQ,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SCHA,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SCHB,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SCHM,US,USD,False,2011-01-13 00:00:00,2025-12-01 00:00:00,3743
SCHX,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SMH,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SOXX,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SPTM,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SPY,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VB,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VDE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VFH,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VGT,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VHT,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VIOO,US,USD,False,2010-09-09 00:00:00,2025-12-01 00:00:00,3831
VO,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VOO,US,USD,False,2010-09-09 00:00:00,2025-12-01 00:00:00,3831
VTI,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
VV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XBI,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XLE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XLF,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XLK,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XLV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
XOP,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
DWAS,US,USD,False,2012-07-19 00:00:00,2025-12-01 00:00:00,3362
IDU,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
ITA,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
ITB,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IVE,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IVW,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWD,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IWF,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYC,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYJ,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYK,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYM,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYR,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
IYZ,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
PDP,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
RPG,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
RPV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
RWR,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SCHG,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SCHH,US,USD,False,2011-01-13 00:00:00,2025-12-01 00:00:00,3743
SCHV,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
SPHQ,US,USD,False,2010-01-04 00:00:00,2025-12-01 00:00:00,4003
