,region,original_currency,converted_to_usd,first_date,last_date,observations
DBB,US,USD,False,2007-01-05 00:00:00,2025-12-01 00:00:00,4757
DBE,US,USD,False,2007-01-05 00:00:00,2025-12-01 00:00:00,4757
DIA,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
DVY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IAI,US,USD,False,2006-05-05 00:00:00,2025-12-01 00:00:00,4925
IBB,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IDU,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IGV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IHI,US,USD,False,2006-05-05 00:00:00,2025-12-01 00:00:00,4925
IJH,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IJR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
ITA,US,USD,False,2006-05-05 00:00:00,2025-12-01 00:00:00,4925
ITB,US,USD,False,2006-05-05 00:00:00,2025-12-01 00:00:00,4925
ITOT,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IVE,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IVV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IVW,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWB,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWD,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWF,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWM,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYC,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYE,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYF,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYH,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYJ,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYK,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYM,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYW,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IYZ,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
KBE,US,USD,False,2005-11-15 00:00:00,2025-12-01 00:00:00,5042
KRE,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
MDY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
MGC,US,USD,False,2007-12-27 00:00:00,2025-12-01 00:00:00,4511
OEF,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
OIH,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
PDP,US,USD,False,2007-03-01 00:00:00,2025-12-01 00:00:00,4720
PMR,US,USD,False,2007-02-28 00:00:00,2025-12-01 00:00:00,4626
QQQ,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
RPG,US,USD,False,2006-03-07 00:00:00,2025-12-01 00:00:00,4967
RPV,US,USD,False,2006-03-07 00:00:00,2025-12-01 00:00:00,4967
RWR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SDY,US,USD,False,2005-11-15 00:00:00,2025-12-01 00:00:00,5042
SMH,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SOXX,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPHQ,US,USD,False,2005-12-06 00:00:00,2025-12-01 00:00:00,5028
SPTM,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPYG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPYV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VAW,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VB,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VCR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VDC,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VDE,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VFH,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VGT,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VHT,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VIG,US,USD,False,2006-05-02 00:00:00,2025-12-01 00:00:00,4928
VIS,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VNQ,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VO,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VOX,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VPU,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VTI,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VTV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VUG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VYM,US,USD,False,2006-11-16 00:00:00,2025-12-01 00:00:00,4789
XBI,US,USD,False,2006-02-06 00:00:00,2025-12-01 00:00:00,4987
XHB,US,USD,False,2006-02-06 00:00:00,2025-12-01 00:00:00,4987
XLB,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLE,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLF,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLI,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLK,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLP,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLU,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XME,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
XOP,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
XRT,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
AAXJ,ASIA_PACIFIC,USD,False,2008-08-15 00:00:00,2025-12-01 00:00:00,4351
AGG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
BND,US,USD,False,2007-04-10 00:00:00,2025-12-01 00:00:00,4693
DXJ,JAPAN,USD,False,2006-06-16 00:00:00,2025-12-01 00:00:00,4896
EPI,ASIA_PACIFIC,USD,False,2008-02-26 00:00:00,2025-12-01 00:00:00,4471
EPP,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWA,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWD,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWG,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWH,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWI,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWJ,JAPAN,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWK,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWL,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWM,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
