trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,convergence_exits,max_holding_exits,stop_loss_exits,period_end_exits
2010,7,9,8,88.88888888888889,1209.8007771758637,9.0,,,
2011,6,9,6,66.66666666666666,109.19939956166317,4.0,5.0,,
2012,3,1,1,100.0,101.57771977770108,1.0,,,
2013,3,4,3,75.0,214.76043141158178,3.0,1.0,,
2014,2,1,1,100.0,122.45604838822631,1.0,,,
2015,3,0,0,0.0,0.0,,,,
2016,9,15,9,60.0,-5.743379290557982,6.0,9.0,,
2017,7,6,5,83.33333333333334,241.8182322924883,5.0,1.0,,
2018,2,4,0,0.0,-283.9877781268705,,2.0,1.0,1.0
2019,3,5,3,60.0,133.99870010835318,1.0,4.0,,
2020,2,3,3,100.0,471.1467955255805,3.0,,,
2021,4,4,2,50.0,-6.936959553231464,2.0,2.0,,
2022,3,4,3,75.0,-58.494486875408036,2.0,2.0,,
2023,3,3,2,66.66666666666666,-156.37230529048804,2.0,1.0,,
2024,2,3,1,33.33333333333333,-449.9171134736815,,2.0,1.0,
