trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits,period_end_exits
2007,7,14,2,14.285714285714285,-436.12395098885696,49563.87604901114,10.0,1.0,3,
2009,16,11,5,45.45454545454545,587.3196256909815,50151.19567470212,5.0,3.0,3,
2010,15,30,16,53.333333333333336,1771.628068339598,51922.82374304173,15.0,11.0,4,
2011,7,8,2,25.0,-354.4643741853588,51568.35936885636,3.0,,5,
2012,9,5,3,60.0,106.78242006962446,51675.141788926,2.0,1.0,2,
2013,6,2,1,50.0,157.38226995839707,51832.524058884395,,1.0,1,
2014,8,2,1,50.0,105.071348973603,51937.595407858,,1.0,1,
2016,10,7,4,57.14285714285714,206.01919105091247,52143.61459890893,3.0,,4,
2017,9,4,4,100.0,413.61940859646097,52557.23400750538,,3.0,1,
2018,7,20,8,40.0,105.63061491758478,52662.86462242297,12.0,3.0,4,1.0
2022,5,11,5,45.45454545454545,-219.54172871935162,52443.32289370361,5.0,1.0,5,
2023,5,5,2,40.0,-104.41775708285356,52338.90513662076,2.0,2.0,1,
2024,6,10,3,30.0,-259.9459594123528,52078.959177208395,7.0,1.0,2,
