pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-13,2007-04-16,1,2.8415344252623527,3.5157927492986625,0.6263018605237977,7.109903632542329,-80.22551167015614,stop_loss,50000.0
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-16,2007-04-17,1,3.5157927492986625,3.397568410508784,0.6263018605237977,7.109903632542329,-38.42534720814309,stop_loss,49919.774488329844
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-17,2007-04-18,1,3.397568410508784,3.0936233034314915,0.6263018605237977,7.109903632542329,-21.569721498502997,stop_loss,49881.349141121704
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-18,2007-04-24,4,3.0936233034314915,3.0787653804740582,0.6263018605237977,7.109903632542329,-109.16579878179272,stop_loss,49859.7794196232
EWP_EWL,EWP,EWL,EUROPE,LONG,2007-04-24,2007-04-25,1,-3.395638511679461,-3.696415867138886,1.6134322215679706,8.740463526844506,-71.21390189961681,stop_loss,49750.6136208414
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-24,2007-04-25,1,3.0787653804740582,3.2967953719568723,0.6263018605237977,7.109903632542329,-78.84164719079264,stop_loss,49750.6136208414
EWP_EWL,EWP,EWL,EUROPE,LONG,2007-04-25,2007-04-26,1,-3.696415867138886,-3.3304240684393087,1.6134322215679706,8.740463526844506,-23.20145802401737,stop_loss,49600.558071750995
EWP_EWL,EWP,EWL,EUROPE,LONG,2007-04-26,2007-04-27,1,-3.3304240684393087,-3.2394615821066166,1.6134322215679706,8.740463526844506,-41.088613395595075,stop_loss,49577.35661372698
EWP_EWL,EWP,EWL,EUROPE,LONG,2007-04-27,2007-05-17,14,-3.2394615821066166,-0.04275437614772701,1.6134322215679706,8.740463526844506,195.57636870394487,convergence,49536.26800033139
FEZ_EWP,FEZ,EWP,EUROPE,SHORT,2007-04-25,2007-05-18,17,3.2967953719568723,1.2957970355478854,0.6263018605237977,7.109903632542329,-37.85230936651104,max_holding,49600.558071750995
FEZ_EWI,FEZ,EWI,EUROPE,SHORT,2007-05-31,2007-06-01,1,2.8962576027663163,3.600954590706599,1.0005862884214323,7.403801193354949,-85.15501055868569,stop_loss,49693.99205966882
FEZ_EWI,FEZ,EWI,EUROPE,SHORT,2007-06-01,2007-06-04,1,3.600954590706599,3.5247122881894057,1.0005862884214323,7.403801193354949,-43.279697808871674,stop_loss,49608.83704911013
FEZ_EWI,FEZ,EWI,EUROPE,SHORT,2007-06-04,2007-06-28,18,3.5247122881894057,1.6903116293104583,1.0005862884214323,7.403801193354949,-28.340170053154413,max_holding,49565.55735130126
EWU_EWL,EWU,EWL,EUROPE,SHORT,2007-06-13,2007-07-02,13,3.2574841206001612,1.17679600622801,0.9503187680312014,5.491571617021715,26.658867763037843,max_holding,49565.55735130126
EWA_EWT,EWA,EWT,ASIA_DEV,LONG,2009-04-30,2009-05-04,2,-2.9797058307421462,-3.005455330005709,0.984257360097218,8.858869925585719,-135.90762954026454,stop_loss,49563.87604901114
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2009-05-14,2009-05-28,9,-2.9513254851198307,0.13793675666589733,1.450182208988376,6.73520365976401,156.47719772502455,convergence,49427.968419470875
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-05-27,2009-05-29,2,3.4032065327073515,3.170355400937413,0.7615497838557166,5.973174090725858,7.203428373721739,stop_loss,49427.968419470875
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-05-29,2009-06-01,1,3.170355400937413,3.0556707542661306,0.7615497838557166,5.973174090725858,-25.684535908115475,stop_loss,49591.649045569626
EWA_EWT,EWA,EWT,ASIA_DEV,LONG,2009-05-04,2009-06-02,20,-3.005455330005709,0.19116753246229817,0.984257360097218,8.858869925585719,513.1985266241322,convergence,49427.968419470875
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-04,2009-06-05,1,2.997549901517616,3.1511215029751156,0.8683624083628341,12.977591567391718,-91.75493884040455,stop_loss,50079.163036285645
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-05,2009-06-08,1,3.1511215029751156,3.0463722225299623,0.8683624083628341,12.977591567391718,-51.104626467510556,stop_loss,49987.40809744524
EWA_EWY,EWA,EWY,ASIA_DEV,SHORT,2009-06-02,2009-06-19,13,3.3401510403504213,1.7460066669107934,0.8461498943872651,5.424174455426512,-48.31327455616369,max_holding,50079.163036285645
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-06-01,2009-06-19,14,3.0556707542661306,1.0333831944413538,0.7615497838557166,5.973174090725858,99.35049608337658,max_holding,49565.96450966151
XLI_ITA,XLI,ITA,INDUSTRIALS,LONG,2009-05-28,2009-06-22,17,-2.9755528143697023,-2.065593268027067,1.0395658843972682,7.183939966287281,-92.54640231326269,max_holding,49584.4456171959
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-08,2009-07-07,20,3.0463722225299623,0.17506525946994458,0.8683624083628341,12.977591567391718,256.4013845104479,convergence,49936.30347097773
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-04-20,1,2.9976102134116283,3.998506795134644,0.7542927071836641,13.220005897924523,-62.67025799081077,stop_loss,50151.19567470212
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-04-28,1,2.9611056245848784,3.012375781937484,0.9871937579496305,6.455806101579485,-44.504462302040224,stop_loss,50088.52541671131
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-20,2010-04-30,8,3.998506795134644,3.187478445566643,0.7542927071836641,13.220005897924523,-60.794546997225794,stop_loss,50088.52541671131
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-30,2010-05-03,1,3.187478445566643,3.3899530904506188,0.7542927071836641,13.220005897924523,-49.99436536356424,stop_loss,49983.22640741205
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-05-05,1,3.143602106616532,3.2043313590564466,-0.8413367668101543,11.310806781235772,-46.575149501226996,stop_loss,49933.23204204848
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-03,2010-05-06,3,3.3899530904506188,0.03245185309833962,0.7542927071836641,13.220005897924523,141.39374243855775,convergence,49933.23204204848
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-05,2010-05-06,1,3.2043313590564466,4.213274446754675,-0.8413367668101543,11.310806781235772,-159.1731758529504,stop_loss,49886.65689254725
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-06,2010-05-07,1,4.213274446754675,3.143462982725151,-0.8413367668101543,11.310806781235772,34.18434615906623,stop_loss,49868.87745913286
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-07,1,-4.980326179468041,-3.3264014774521904,1.1120283439561278,6.150057843900465,52.24087727590295,stop_loss,49868.87745913286
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-07,1,-3.3933562122917884,-3.5718118167931814,1.1655904559487027,6.132075550582108,-45.70013479531608,stop_loss,49868.87745913286
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-07,2010-05-10,1,-3.5718118167931814,0.05376028800457792,1.1655904559487027,6.132075550582108,217.4818997589217,convergence,49909.60254777251
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-07,2010-05-14,5,-3.3264014774521904,-3.0662942679986145,1.1120283439561278,6.150057843900465,-44.64038577573535,stop_loss,49909.60254777251
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-18,14,-3.115406622797122,-0.8759895195081614,1.0469804388799806,5.963186379561934,78.97943462367908,max_holding,50044.02095440927
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-20,2,2.8164498151123922,3.374693029864095,0.959418377596196,5.1524661102392395,-74.47459338427377,stop_loss,50161.423496379386
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-28,2010-05-20,16,3.012375781937484,0.40159029958750303,0.9871937579496305,6.455806101579485,107.35104035279721,max_holding,50044.02095440927
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214176,-0.07590403819775307,1.1655904559487027,6.132075550582108,150.3186702815709,convergence,50082.444061755705
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-14,2010-05-21,5,-3.0662942679986145,0.007401764586787833,1.1120283439561278,6.150057843900465,164.4853692241561,convergence,50082.444061755705
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-20,2010-05-26,4,3.374693029864095,-0.16845548324457124,0.959418377596196,5.1524661102392395,186.6125555111237,convergence,50344.618613629485
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-08,2,-2.836409327684861,-3.056596182482648,1.1655904559487027,6.132075550582108,-77.70582175264464,stop_loss,50695.716538364766
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,218.0985784064962,convergence,50618.01071661212
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-3.056596182482648,-0.12589099029738735,1.1655904559487027,6.132075550582108,227.9539031903545,convergence,50618.01071661212
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-07,2010-06-17,28,3.143462982725151,1.3204030611897908,-0.8413367668101543,11.310806781235772,-103.98344594809018,max_holding,49909.60254777251
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-06-30,1,3.172578083342242,3.018568393700236,1.2110830782653645,12.362511392812893,-30.9272026432885,stop_loss,50960.079752260885
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-07,12,2.8509327089452516,3.2012738789003636,1.0479223703362872,14.580256609700431,-150.0922971136192,stop_loss,50960.079752260885
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-07-07,2010-07-08,1,3.2012738789003636,3.000855207441009,1.0479223703362872,14.580256609700431,-27.13275183905017,stop_loss,50779.06025250398
