trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2010,15,15,13,86.66666666666667,6952.352896196162,56952.35289619616,11.0,4.0,
2011,9,7,4,57.14285714285714,396.5027332288711,57348.85562942502,2.0,5.0,
2012,10,3,2,66.66666666666666,514.4595558623491,57863.31518528737,1.0,2.0,
2013,6,2,1,50.0,563.2788657721434,58426.59405105951,1.0,1.0,
2014,8,2,1,50.0,177.1883025288588,58603.782353588365,1.0,1.0,
2015,4,0,0,0.0,0.0,58603.782353588365,,,
2016,13,4,4,100.0,1395.6621722183795,59999.44452580674,1.0,3.0,
2017,11,5,5,100.0,1607.9710367832158,61607.41556258996,3.0,2.0,
2018,10,6,4,66.66666666666666,1435.2532012387767,63042.66876382873,3.0,3.0,
2019,5,2,1,50.0,30.66761188499477,63073.33637571373,,2.0,
2020,4,1,1,100.0,1492.5988441778193,64565.935219891544,1.0,,
2021,4,5,2,40.0,-443.0761869608789,64122.85903293066,2.0,3.0,
2022,6,7,5,71.42857142857143,1732.5591537878458,65855.4181867185,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-411.1395903473327,65444.278596371165,2.0,1.0,
2024,8,6,2,33.33333333333333,-2468.9430880195414,62975.33550835162,1.0,4.0,1.0
