pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.997610213411612,0.032451853098339575,0.7542927071836641,13.220005897924523,104.51645117353672,convergence,50000.0,-601.7346256790642,741.1508667325946,28.419353485107425,17.404136657714844
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.3933562122917693,0.053760288004592975,1.165590455948703,6.1320755505821145,590.9865498959305,convergence,50104.516451173535,705.3218576535222,-1121.0090710772993,19.68178367614746,14.434064865112305
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-18,14,-3.1154066227971113,-0.8759895195081573,1.0469804388799806,5.963186379561934,252.51187452145095,max_holding,50000.0,669.220042928811,-871.3938942164766,21.89972305297852,17.608875274658203
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-19,16,2.9611056245848784,0.7784969768961121,0.9871937579496305,6.455806101579485,159.51337198437133,max_holding,50000.0,-858.4013853549675,975.7667728028499,17.58695411682129,15.273459434509276
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214314,-0.07590403819774219,1.165590455948703,6.1320755505821145,486.90790511609885,convergence,50695.50300106947,703.6205659018112,-1116.6121062664772,19.962081909179688,14.661824226379396
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,683.9340730073834,convergence,50104.516451173535,1065.1463727268308,-1096.6185490733135,13.363465309143066,14.434064865112305
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-26,6,2.8164498151123922,-0.16845548324457124,0.959418377596196,5.1524661102392395,405.27641902290134,convergence,50948.01487559092,-1146.5421089551178,965.4362673573796,13.606966972351074,15.503714561462402
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-06-14,28,3.143602106616532,1.1954638806351843,-0.8413367668101543,11.310806781235772,-394.81747922220774,max_holding,50000.0,-181.24259711499477,180.45636183950606,60.05229187011719,50.74433135986328
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,726.3962072512209,convergence,52683.646644721666,1168.8424912036382,-1186.4128358935761,12.804757118225098,14.028374671936035
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.8364093276848505,-0.12589099029740142,1.165590455948703,6.1320755505821145,557.9217563554911,convergence,52683.646644721666,790.0590794594963,-1232.1802550253842,18.47528648376465,13.80773639678955
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-3.740274331451228,-0.21214105073511333,1.165590455948703,6.1320755505821145,1098.2236516845908,convergence,53573.147129106175,740.5833066928952,-1112.9969851796795,20.04232788085937,15.544404029846191
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-5.238267862887816,0.07367358075858786,1.1493583890371042,8.273978147465257,1077.1844027905493,convergence,53573.147129106175,611.8822052592925,-1105.7856946521747,24.4411563873291,15.544404029846191
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-20,15,-3.734544857070711,-0.39739972370873344,1.1120283439561278,6.150057843900465,991.0622755330778,max_holding,53573.147129106175,1114.5126759605153,-1088.7807873291956,13.65569019317627,15.544404029846191
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089453573,0.23360184092903905,1.0479223703362872,14.580256609700431,-86.73792500230785,convergence,53573.147129106175,-705.2113600119668,809.8523232468117,22.256948471069336,20.309919357299805
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-29,21,3.172578083342242,0.16080677957030512,1.2110830782653645,12.362511392812893,299.4733620840744,convergence,53573.147129106175,-1686.2113373682232,932.3204369949847,8.62147045135498,18.88435173034668
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-26,18,-3.276747590972535,-1.525818609205813,0.9510986122103829,7.302834201561681,-141.13025015536675,max_holding,56952.35289619616,907.9542318848685,-276.47634308416036,16.191743850708008,50.57374954223633
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-21,2011-04-28,4,-2.8692458457319137,-0.1695013353984962,0.776336322478613,10.479668817029314,326.56261234006445,convergence,56952.35289619616,1921.1255280775983,-631.3568421943263,10.013409614562988,23.654443740844727
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-04-07,2011-04-28,14,-3.15383237814351,-0.8697826711123362,0.8015600438871174,5.816031226812864,243.91485690744952,max_holding,56952.35289619616,575.7804401576925,-707.204714328299,32.94255447387695,21.498348236083984
