pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
IJR_VB,IJR,VB,US_SMALL,LONG,2010-03-31,2010-04-01,1,-0.9265048925299378,0.09702700419091259,0.8730392770884805,5.641026853776293,3.4427206685044336,convergence,50000.0,111.99475739721017,-46.50637538295685,23.83556365966797,50.11230850219727
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-03-31,2010-04-05,2,0.8559844362787051,-0.614972744407271,0.959418377596196,5.1524661102392395,18.657432237193404,convergence,50000.0,-168.2409363307437,137.23885543022013,15.167400360107422,17.839134216308594
VTI_OEF,VTI,OEF,US_BROAD,LONG,2010-03-31,2010-04-05,2,-0.7833859914246554,0.5836344319966512,1.103902530772375,6.55931608060191,2.437491738921948,convergence,50000.0,52.52508200619413,-64.52221870967415,45.24573516845703,40.659854888916016
IWB_OEF,IWB,OEF,US_BROAD,SHORT,2010-04-05,2010-04-08,3,0.8747118240138351,-0.3459082664836738,1.0841911404442768,5.32848455590376,0.27152320267722097,convergence,50024.537644644624,-47.575530349175274,63.21039320896062,50.4500846862793,41.16829681396485
EWG_EWU,EWG,EWU,EUROPE,LONG,2010-04-05,2010-04-12,5,-0.9324813863317313,0.05114097119120106,0.959418377596196,5.1524661102392395,7.927543102029661,convergence,50024.537644644624,165.37449313321096,-133.53087256472978,15.437870025634766,18.34350204467773
IJR_VB,IJR,VB,US_SMALL,SHORT,2010-04-14,2010-04-15,1,1.1404382792988395,0.08390705653700385,0.8730392770884805,5.641026853776293,0.5801597922137889,convergence,50032.73671094933,-105.46854211056223,43.738505975113995,25.32703971862793,53.31841278076172
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-03-31,2010-04-16,11,1.3343020995986121,4.5952595815206765,0.9871937579496305,6.455806101579485,-67.3798559418484,stop_loss_time,50000.0,-141.04445498866775,152.56899052337275,17.839134216308594,16.280431747436523
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-03-31,2010-04-20,13,1.5887605523967765,3.7591661049194114,1.1513248086480323,8.75111304967419,-116.15919807755348,stop_loss_time,50000.0,-125.06855815505256,122.20039877522622,18.5830020904541,21.89723396301269
XLF_KBE,XLF,KBE,FINANCIALS,LONG,2010-04-05,2010-04-20,11,-1.6282115664935108,-4.620271111263178,1.0000302001899337,7.636304255021442,-80.3855692110673,stop_loss_time,50024.537644644624,250.26378418089098,-130.5529828608639,9.994211196899414,19.15900039672852
VTI_OEF,VTI,OEF,US_BROAD,LONG,2010-04-19,2010-04-20,1,-0.9874951147669638,0.6367214650363657,1.103902530772375,6.55931608060191,2.2141570033232787,convergence,49965.93701479969,51.091748047775155,-62.88214674518338,46.483375549316406,41.69190979003906
IWB_OEF,IWB,OEF,US_BROAD,LONG,2010-04-15,2010-04-21,4,-1.1414908232539716,0.25047142690873203,1.0841911404442768,5.32848455590376,0.15503569353146496,convergence,50033.31687074154,46.57628607299058,-61.75306325085385,51.541481018066406,42.14723587036133
