trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2010,15,15,13,86.66666666666667,1610.4593603959966,51610.45936039599,11.0,4.0,
2011,9,7,4,57.14285714285714,158.48405196077852,51768.94341235677,2.0,5.0,
2012,10,3,2,66.66666666666666,289.95089954005255,52058.894311896816,1.0,2.0,
2013,6,2,1,50.0,317.477111483994,52376.37142338081,1.0,1.0,
2014,8,2,1,50.0,279.52232313656606,52655.89374651738,1.0,1.0,
2015,4,0,0,0.0,0.0,52655.89374651738,,,
2016,13,4,4,100.0,467.5631661814799,53123.456912698864,1.0,3.0,
2017,11,5,5,100.0,653.3302369456522,53776.78714964453,3.0,2.0,
2018,10,6,4,66.66666666666666,617.8871549794359,54394.674304623964,3.0,3.0,
2019,5,2,1,50.0,16.53795350925514,54411.21225813322,,2.0,
2020,4,1,1,100.0,804.7587656833844,55215.97102381661,1.0,,
2021,4,5,2,40.0,-229.40074473243175,54986.570279084175,2.0,3.0,
2022,6,7,5,71.42857142857143,918.538696791443,55905.10897587562,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-217.03146115855623,55688.077514717064,2.0,1.0,
2024,8,6,2,33.33333333333333,-446.8835076199271,55241.19400709715,1.0,4.0,1.0
