trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,period_end_exits
2010,15,8,3,37.5,50.1896008975738,50050.18960089756,8
2011,9,8,3,37.5,-509.271726985678,49540.91787391188,8
2012,10,8,7,87.5,7442.317915018314,56983.235788930186,8
2013,6,4,3,75.0,1033.4037077144012,58016.63949664459,4
2014,8,7,3,42.857142857142854,-624.4996428437247,57392.13985380086,7
2015,4,4,0,0.0,-1015.9762517758274,56376.16360202503,4
2016,13,8,5,62.5,1682.1136192198155,58058.27722124485,8
2017,11,8,2,25.0,-838.5674890890444,57219.70973215581,8
2018,10,8,4,50.0,-373.7158672451846,56845.99386491062,8
2019,5,2,1,50.0,763.1247503042509,57609.11861521487,2
2020,4,3,1,33.33333333333333,-79.6584547718827,57529.46016044299,3
2021,4,4,0,0.0,-718.8593237199105,56810.60083672309,4
2022,6,6,3,50.0,355.3521001755473,57165.95293689863,6
2023,5,4,2,50.0,265.99572081164433,57431.94865771028,4
2024,8,6,3,50.0,355.6409863127218,57787.589644023006,6
