trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,regime_break_exits
2010,15,22,3,13.636363636363635,-474.797530886316,49525.202469113676,4.0,18
2011,9,22,9,40.909090909090914,-52.55664999813372,49472.645819115525,4.0,18
2012,10,7,2,28.57142857142857,-56.59270604986732,49416.05311306567,2.0,5
2013,6,7,1,14.285714285714285,-89.73078839863737,49326.32232466703,2.0,5
2014,8,9,1,11.11111111111111,-141.18612736312875,49185.13619730391,2.0,7
2015,4,8,2,25.0,-95.42082267700512,49089.71537462691,1.0,7
2016,13,23,3,13.043478260869565,-289.1458200954677,48800.56955453147,5.0,18
2017,11,4,1,25.0,-44.123600316361916,48756.44595421511,,4
2018,10,8,2,25.0,-45.83180213229433,48710.614152082824,2.0,6
2019,5,7,4,57.14285714285714,45.40073540874906,48756.01488749157,1.0,6
2020,4,4,1,25.0,-58.695824905358236,48697.31906258621,1.0,3
2021,4,5,2,40.0,-29.899827411753495,48667.419235174464,1.0,4
2022,6,4,0,0.0,-37.416266069105966,48630.00296910536,1.0,3
2023,5,4,1,25.0,-12.401891895378427,48617.60107720998,3.0,1
2024,8,12,4,33.33333333333333,-59.32097506420672,48558.28010214578,,12
