trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits,period_end_exits
2010,15,30,8,26.666666666666668,-3891.6042114289467,46108.39578857106,28,2.0,,
2011,9,23,7,30.434782608695656,-843.9831486970178,45264.41263987403,14,6.0,3.0,
2012,10,5,2,40.0,-466.4784984666804,44797.93414140736,5,,,
2013,6,7,1,14.285714285714285,-283.61461527112266,44514.319526136234,7,,,
2014,8,5,2,40.0,-146.26617247741052,44368.05335365883,5,,,
2015,4,6,2,33.33333333333333,156.0902266029698,44524.1435802618,6,,,
2016,13,22,5,22.727272727272727,-2455.4693308848664,42068.674249376934,21,1.0,,
2017,11,6,1,16.666666666666664,-507.8978421284721,41560.77640724846,5,1.0,,
2018,10,8,3,37.5,-199.130972660257,41361.6454345882,8,,,
2019,5,9,5,55.55555555555556,165.84780512041914,41527.49323970862,8,,,1.0
2020,4,3,1,33.33333333333333,-93.61849929887273,41433.87474040975,3,,,
2021,4,6,1,16.666666666666664,-236.93049090048953,41196.944249509266,6,,,
2022,6,5,2,40.0,550.628827820758,41747.573077330024,4,1.0,,
2023,5,5,2,40.0,-72.34540950668124,41675.22766782334,5,,,
2024,8,13,3,23.076923076923077,-361.3271504217683,41313.90051740157,13,,,
