trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2010,15,15,13,86.66666666666667,2545.7956521681244,52545.79565216812,11.0,4.0,
2011,9,7,4,57.14285714285714,245.25135533181128,52791.047007499925,2.0,5.0,
2012,10,3,2,66.66666666666666,447.29275951839907,53238.339767018326,1.0,2.0,
2013,6,2,1,50.0,488.38173005383396,53726.72149707216,1.0,1.0,
2014,8,2,1,50.0,427.0248866841676,54153.74638375633,1.0,1.0,
2015,4,0,0,0.0,0.0,54153.74638375633,,,
2016,13,4,4,100.0,709.553626681359,54863.30001043768,1.0,3.0,
2017,11,5,5,100.0,980.1562795350666,55843.45628997275,3.0,2.0,
2018,10,6,4,66.66666666666666,916.1885618504441,56759.6448518232,3.0,3.0,
2019,5,2,1,50.0,24.322901049670435,56783.96775287287,,2.0,
2020,4,1,1,100.0,1183.2249013170497,57967.19265418992,1.0,,
2021,4,5,2,40.0,-325.200216782691,57641.99243740723,2.0,3.0,
2022,6,7,5,71.42857142857143,1346.1327217959245,58988.12515920315,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-307.9398064072745,58680.185352795874,2.0,1.0,
2024,8,6,2,33.33333333333333,-642.8772403126912,58037.30811248318,1.0,4.0,1.0
