pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2009-05-14,2009-05-28,9,-2.951325485119792,0.1379367566658958,1.4501822089883758,6.735203659764035,506.52196391186317,convergence,50000.0
EWA_EWT,EWA,EWT,ASIA_DEV,LONG,2009-04-30,2009-06-02,22,-2.9797058307421462,0.19116753246229817,0.984257360097218,8.858869925585719,174.13977516985906,max_holding,50000.0
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-05-27,2009-06-16,14,3.40320653270735,0.9232506892990451,0.7615497838557166,5.973174090725864,579.5551319350848,max_holding,50000.0
EWA_EWY,EWA,EWY,ASIA_DEV,SHORT,2009-06-02,2009-06-19,13,3.340151040350418,1.7460066669107932,0.8461498943872651,5.424174455426517,-95.49813932632127,max_holding,50680.66173908173
XLI_ITA,XLI,ITA,INDUSTRIALS,LONG,2009-05-28,2009-06-22,17,-2.9755528143697023,-2.0655932680270657,1.0395658843972682,7.183939966287281,-74.23496199403206,max_holding,50506.521963911866
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-04,2009-07-07,22,2.997549901517616,0.17506525946994458,0.8683624083628341,12.977591567391718,60.89073674877231,convergence,50680.66173908173
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.997610213411612,0.032451853098339575,0.7542927071836641,13.220005897924523,104.51645117353672,convergence,51151.37450644523
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.3933562122917693,0.053760288004592975,1.165590455948703,6.1320755505821145,207.37225573778767,convergence,51255.890957618765
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-18,14,-3.1154066227971113,-0.8759895195081573,1.0469804388799806,5.963186379561934,41.19306672380667,max_holding,51151.37450644523
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-19,16,2.9611056245848784,0.7784969768961121,0.9871937579496305,6.455806101579485,67.4090244369187,max_holding,51151.37450644523
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214314,-0.07590403819774219,1.165590455948703,6.1320755505821145,168.86020767632564,convergence,51463.26321335655
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,458.5285176201503,convergence,51255.890957618765
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-26,6,2.8164498151123922,-0.16845548324457124,0.959418377596196,5.1524661102392395,49.71690506643619,convergence,51504.456280080354
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-06-14,28,3.143602106616532,1.1954638806351843,-0.8413367668101543,11.310806781235772,-591.0096030353792,max_holding,51151.37450644523
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,463.1553933713417,convergence,52248.97093488019
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.8364093276848505,-0.12589099029740142,1.165590455948703,6.1320755505821145,186.18616175560624,convergence,52248.97093488019
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-3.740274331451228,-0.21214105073511333,1.165590455948703,6.1320755505821145,360.4072867919513,convergence,52307.30288697176
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-5.238267862887816,0.07367358075858786,1.1493583890371042,8.273978147465257,149.4206876359441,convergence,52307.30288697176
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-20,15,-3.734544857070711,-0.39739972370873344,1.1120283439561278,6.150057843900465,621.4164872230635,max_holding,52307.30288697176
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089453573,0.23360184092903905,1.0479223703362872,14.580256609700431,-20.876695015456903,convergence,52307.30288697176
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-29,21,3.172578083342242,0.16080677957030512,1.2110830782653645,12.362511392812893,279.49950500609225,convergence,52307.30288697176
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-26,18,-3.276747590972535,-1.525818609205813,0.9510986122103829,7.302834201561681,-121.17400328615753,max_holding,53697.17015861335
