pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
EWA_EWT,EWA,EWT,ASIA_DEV,LONG,2009-04-30,2009-05-26,17,-2.9797058307421462,-0.7698570228487454,0.984257360097218,8.858869925585719,89.68282572014832,max_holding,50000.0
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2009-05-14,2009-05-28,9,-2.951325485119792,0.1379367566658958,1.4501822089883758,6.735203659764035,506.52196391186317,convergence,50000.0
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-05-27,2009-06-11,11,3.40320653270735,1.629917997461932,0.7615497838557166,5.973174090725864,48.288713520708676,max_holding,50089.68282572015
EWA_EWY,EWA,EWY,ASIA_DEV,SHORT,2009-06-02,2009-06-16,10,3.340151040350418,1.7164679957393323,0.8461498943872651,5.424174455426517,-15.71476629661423,max_holding,50596.204789632015
XLI_ITA,XLI,ITA,INDUSTRIALS,LONG,2009-05-28,2009-06-17,14,-2.9755528143697023,-1.9027107842692934,1.0395658843972682,7.183939966287281,-34.33240736204435,max_holding,50596.204789632015
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-04,2009-07-07,22,2.997549901517616,0.17506525946994458,0.8683624083628341,12.977591567391718,60.89073674877231,convergence,50596.204789632015
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.997610213411612,0.032451853098339575,0.7542927071836641,13.220005897924523,104.51645117353672,convergence,50655.33706624283
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.3933562122917693,0.053760288004592975,1.165590455948703,6.1320755505821145,207.37225573778767,convergence,50759.85351741636
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-13,12,2.9611056245848784,0.9910665193200393,0.9871937579496305,6.455806101579485,63.1205042726878,max_holding,50655.33706624283
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-13,11,-3.1154066227971113,-0.7170403403157227,1.0469804388799806,5.963186379561934,54.42769058872592,max_holding,50655.33706624283
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214314,-0.07590403819774219,1.165590455948703,6.1320755505821145,168.86020767632564,convergence,51084.77396801556
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,458.5285176201503,convergence,50759.85351741636
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-26,6,2.8164498151123922,-0.16845548324457124,0.959418377596196,5.1524661102392395,49.71690506643619,convergence,51084.77396801556
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-06-04,22,3.143602106616532,1.7320854469284122,-0.8413367668101543,11.310806781235772,-752.187432538777,max_holding,50655.33706624283
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,463.1553933713417,convergence,51009.6921658397
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.8364093276848505,-0.12589099029740142,1.165590455948703,6.1320755505821145,186.18616175560624,convergence,51009.6921658397
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-3.740274331451228,-0.21214105073511333,1.165590455948703,6.1320755505821145,360.4072867919513,convergence,51659.03372096665
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-15,12,-3.734544857070711,-0.7302222878905061,1.1120283439561278,6.150057843900465,573.3721834847945,max_holding,51659.03372096665
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-5.238267862887816,0.07367358075858786,1.1493583890371042,8.273978147465257,149.4206876359441,convergence,51659.03372096665
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089453573,0.23360184092903905,1.0479223703362872,14.580256609700431,-20.876695015456903,convergence,51659.03372096665
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-29,21,3.172578083342242,0.16080677957030512,1.2110830782653645,12.362511392812893,279.49950500609225,convergence,51659.03372096665
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-19,14,-3.276747590972535,-1.8851942321725488,0.9510986122103829,7.302834201561681,-141.38899225973384,max_holding,53000.85668886997
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-04-07,2011-04-25,11,-3.15383237814351,-1.2625149696762603,0.8015600438871174,5.816031226812864,127.09189859448632,max_holding,53000.85668886997
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-21,2011-04-28,4,-2.8692458457319137,-0.1695013353984962,0.776336322478613,10.479668817029314,55.07599462012689,convergence,52859.467696610234
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-05-02,11,2.8246293409681216,2.06827094207262,0.9953879383695512,5.657773271086196,-333.3768630128899,max_holding,53000.85668886997
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-05-03,2011-05-17,10,2.8778470175543296,1.1084825140507997,0.9877126871892167,5.34474139398633,81.98470341741695,max_holding,52708.25872681196
