trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,max_holding_exits,convergence_exits,stop_loss_time_exits
2009,16,6,3,50.0,596.0445044576388,50596.04450445764,4.0,2.0,
2010,15,15,12,80.0,2225.498824073199,52821.54332853083,4.0,11.0,
2011,9,7,3,42.857142857142854,-276.18779316108095,52545.35553536976,6.0,1.0,
2012,10,3,2,66.66666666666666,453.9337217907988,52999.289257160555,2.0,1.0,
2013,6,2,1,50.0,369.09516083641694,53368.384417996975,1.0,1.0,
2014,8,2,1,50.0,427.38152333111793,53795.76594132809,1.0,1.0,
2015,4,0,0,0.0,0.0,53795.76594132809,,,
2016,13,4,4,100.0,660.6019137458117,54456.367855073906,3.0,1.0,
2017,11,5,5,100.0,979.6299510535487,55435.99780612747,2.0,3.0,
2018,10,6,4,66.66666666666666,1254.5752986833418,56690.573104810814,3.0,3.0,
2019,5,2,1,50.0,110.8576929341769,56801.43079774499,2.0,,
2020,4,1,1,100.0,1183.2249013170497,57984.655699062045,,1.0,
2021,4,5,2,40.0,-137.40210645896843,57847.253592603076,3.0,2.0,
2022,6,7,5,71.42857142857143,1244.1360752602648,59091.38966786334,5.0,1.0,1.0
2023,5,3,1,33.33333333333333,-235.7634682931455,58855.6261995702,2.0,1.0,
2024,8,6,2,33.33333333333333,-608.9329122382347,58246.693287331975,4.0,1.0,1.0
