trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,max_holding_exits,convergence_exits,stop_loss_exits,regime_break_exits,period_end_exits
2010,8,18,16,88.88888888888889,1795.0420089606173,6,12.0,,,
2011,6,22,12,54.54545454545454,500.0241292590641,9,11.0,2.0,,
2012,5,14,9,64.28571428571429,1247.0084201853474,5,9.0,,,
2013,3,9,5,55.55555555555556,-154.53842631211606,8,1.0,,,
2014,2,2,1,50.0,-82.16004336591338,1,1.0,,,
2015,5,1,1,100.0,2.582831877663587,1,,,,
2016,10,31,17,54.83870967741935,606.7949851652222,18,13.0,,,
2017,7,18,10,55.55555555555556,-883.5506917850117,8,5.0,,4.0,1.0
2018,3,4,2,50.0,-35.94452063316707,2,2.0,,,
2019,3,9,3,33.33333333333333,-363.6246510372915,9,,,,
2020,4,3,2,66.66666666666666,174.81760110815182,2,1.0,,,
2021,4,4,2,50.0,186.7708613416422,3,1.0,,,
2022,4,11,7,63.63636363636363,131.73211859176232,6,5.0,,,
2023,3,6,3,50.0,-319.43938960735653,3,3.0,,,
2024,2,4,1,25.0,-507.88040071192734,3,,1.0,,
