trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,period_end_exits
2010,15,8,1,12.5,-1595.403588711316,48404.59641128868,8
2011,9,8,3,37.5,-668.1406232994404,47736.455787989245,8
2012,10,8,6,75.0,6327.890914096167,54064.346702085415,8
2013,6,5,4,80.0,1153.5033455729326,55217.85004765835,5
2014,8,7,3,42.857142857142854,-534.5983079475245,54683.25173971083,7
2015,4,4,0,0.0,-814.0490356838192,53869.20270402702,4
2016,13,8,5,62.5,1556.5320348567611,55425.73473888378,8
2017,11,8,2,25.0,-698.2133027385137,54727.52143614527,8
2018,10,8,5,62.5,1055.5707691895482,55783.09220533482,8
2019,5,5,3,60.0,847.4559567638016,56630.548162098625,5
2020,4,3,1,33.33333333333333,-270.68944762579025,56359.85871447283,3
2021,4,4,0,0.0,-635.4591718599382,55724.3995426129,4
2022,6,6,3,50.0,200.6446101194185,55925.04415273231,6
2023,5,4,2,50.0,137.3235008908622,56062.36765362317,4
2024,8,6,3,50.0,340.53412739650906,56402.901781019675,6
