pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-12-31,173,3.033306897437799,0,1.0269781878470763,6.455806101579485,-202.35274927600375,period_end,50000.0
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-27,2010-12-31,173,-2.97070079995367,0,0.816437845508749,5.963186379561934,-131.13412153986678,period_end,50000.0
EWG_EWN,EWG,EWN,EUROPE,SHORT,2010-05-18,2010-12-31,158,2.815963706505561,0,0.943119371337267,9.236098412019087,-242.7964271367207,period_end,50000.0
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-12-31,168,3.1864831628590142,0,0.3459706202486848,11.310806781235772,-183.5788893555051,period_end,50000.0
EWG_EWP,EWG,EWP,EUROPE,SHORT,2010-04-27,2010-12-31,173,3.1126063957511416,0,1.015988902541468,6.856974052413112,-681.7775988876614,period_end,50000.0
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-05-06,2010-12-31,166,-3.8878386596460004,0,0.7983424800959632,8.273978147465268,212.76182050882235,period_end,50000.0
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-05,2010-12-31,167,-3.186813549788371,0,0.7127069635766635,6.150057843900465,-125.04838627517672,period_end,50000.0
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-04,2010-12-31,168,-3.060588116991997,0,0.6619909570167527,6.132075550582108,-241.47723674920394,period_end,50000.0
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-17,2011-12-30,158,3.4060844200600764,0,1.3247845027171306,13.162862933816777,-693.3569847555543,period_end,48404.59641128868
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2011-05-17,2011-12-30,158,3.2763180600101185,0,1.1546584240578581,10.479668817029296,-487.3615732242283,period_end,48404.59641128868
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-12-30,191,-3.170607544931656,0,0.9042999461333885,7.302834201561681,-90.10472623077882,period_end,48404.59641128868
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-08-04,2011-12-30,103,-2.9702489866131487,0,0.7294016165855486,6.088859880387083,-466.9911862177196,period_end,48404.59641128868
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-12-30,180,2.9663403079284936,0,0.7601802613092208,5.657773271086202,262.17712204944615,period_end,48404.59641128868
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-05-03,2011-12-30,168,-2.802566354468243,0,0.9159892321377888,6.81761841862078,211.11282293503712,period_end,48404.59641128868
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-03-30,2011-12-30,191,-2.998017590099541,0,1.133951591865326,5.816031226812846,-158.2693803501442,period_end,48404.59641128868
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-04-27,2011-12-30,172,2.8852805456218147,0,0.6659662070391298,5.344741393986324,754.6532824945016,period_end,48404.59641128868
EWP_EWN,EWP,EWN,EUROPE,LONG,2012-07-24,2012-12-31,109,-3.090827727438436,0,0.5057474515165635,5.872372323707213,2499.5130672520872,period_end,47736.455787989245
EWQ_EWP,EWQ,EWP,EUROPE,SHORT,2012-07-20,2012-12-31,111,3.068775309035252,0,1.098580175656994,9.01178160860021,1073.661116477795,period_end,47736.455787989245
ITA_IYT,ITA,IYT,INDUSTRIALS,LONG,2012-05-17,2012-12-31,155,-2.954137068897373,0,0.4259890759272831,7.019852462942615,585.5803340312792,period_end,47736.455787989245
EWH_EWT,EWH,EWT,ASIA_DEV,LONG,2012-05-17,2012-12-31,155,-3.5417517954304043,0,0.6354304777291071,6.647066686906392,886.7750942939648,period_end,47736.455787989245
VGK_EWP,VGK,EWP,EUROPE,SHORT,2012-07-20,2012-12-31,111,3.0089592325819057,0,1.306901293558596,8.536064934573702,1585.118099313403,period_end,47736.455787989245
