trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2010,15,15,13,86.66666666666667,2595.4912990725456,52595.49129907255,11.0,4.0,
2011,9,7,4,57.14285714285714,258.6733012753234,52854.164600347875,2.0,5.0,
2012,10,3,2,66.66666666666666,474.13901720157315,53328.30361754944,1.0,2.0,
2013,6,2,1,50.0,520.0245432492122,53848.32816079865,1.0,1.0,
2014,8,2,1,50.0,459.75241906245304,54308.0805798611,1.0,1.0,
2015,4,0,0,0.0,0.0,54308.0805798611,,,
2016,13,4,4,100.0,772.1048913582681,55080.185471219374,1.0,3.0,
2017,11,5,5,100.0,1086.2888920254518,56166.47436324483,3.0,2.0,
2018,10,6,4,66.66666666666666,1034.5755742665078,57201.04993751134,3.0,3.0,
2019,5,2,1,50.0,27.825909551346555,57228.875847062685,,2.0,
2020,4,1,1,100.0,1354.292619532529,58583.16846659521,1.0,,
2021,4,5,2,40.0,-394.4636288530703,58188.70483774214,2.0,3.0,
2022,6,7,5,71.42857142857143,1548.2160800762135,59736.920917818345,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-372.9414203266888,59363.97949749165,2.0,1.0,
2024,8,6,2,33.33333333333333,-761.5703417245666,58602.40915576708,1.0,4.0,1.0
