trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2009,16,6,4,66.66666666666666,1385.9823725848842,51385.98237258489,2.0,4.0,
2010,15,15,13,86.66666666666667,2719.361736061819,54105.34410864671,11.0,4.0,
2011,9,7,4,57.14285714285714,229.25438344868468,54334.598492095385,2.0,5.0,
2012,10,3,2,66.66666666666666,447.29275951839907,54781.891251613786,1.0,2.0,
2013,6,2,1,50.0,488.38173005383396,55270.27298166762,1.0,1.0,
2014,8,2,1,50.0,412.4018987791371,55682.67488044676,1.0,1.0,
2015,4,0,0,0.0,0.0,55682.67488044676,,,
2016,13,4,4,100.0,709.553626681359,56392.22850712811,1.0,3.0,
2017,11,5,5,100.0,1029.9268825251088,57422.15538965323,3.0,2.0,
2018,10,6,4,66.66666666666666,916.1885618504441,58338.34395150367,3.0,3.0,
2019,5,2,1,50.0,24.322901049670435,58362.666852553346,,2.0,
2020,4,1,1,100.0,1183.2249013170497,59545.8917538704,1.0,,
2021,4,5,2,40.0,-325.200216782691,59220.6915370877,2.0,3.0,
2022,6,7,5,71.42857142857143,1346.1327217959245,60566.82425888362,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-307.9398064072745,60258.88445247635,2.0,1.0,
2024,8,6,2,33.33333333333333,-650.4437662623764,59608.44068621397,1.0,4.0,1.0
