pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
EWA_EWT,EWA,EWT,ASIA_DEV,LONG,2009-04-30,2009-05-27,18,-2.9797058307421462,-1.726602002910986,0.984257360097218,8.858869925585719,-0.5087538733989048,slow_convergence,50000.0,262.60175149116805,-171.90062147237157,7.196737289428711,10.820927619934082
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2009-05-14,2009-05-28,9,-2.951325485119792,0.1379367566658958,1.4501822089883758,6.735203659764035,506.52196391186317,convergence,50000.0,646.5938159612795,-1459.0971243424858,18.936134338378903,12.169178009033203
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2009-05-27,2009-06-09,9,3.40320653270735,2.0737559902017386,0.7615497838557166,5.973174090725864,-220.82769128369233,slow_convergence,49999.4912461266,-2025.4049119136869,475.06734507847466,8.117323875427246,26.35529327392578
XLI_ITA,XLI,ITA,INDUSTRIALS,LONG,2009-05-28,2009-06-15,12,-2.9755528143697023,-1.4940590307232566,1.0395658843972682,7.183939966287281,13.86265625295309,slow_convergence,50506.013210038465,228.13721470907117,-220.1897203670441,16.027353286743164,17.262866973876953
EWA_EWY,EWA,EWY,ASIA_DEV,SHORT,2009-06-02,2009-06-15,9,3.340151040350418,1.7497804521180433,0.8461498943872651,5.424174455426517,-8.173786546374743,slow_convergence,50506.013210038465,-1176.008637543904,299.30319903734187,8.548881530761719,28.42207336425781
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2009-06-04,2009-07-07,22,2.997549901517616,0.17506525946994458,0.8683624083628341,12.977591567391718,60.89073674877231,convergence,50506.013210038465,-232.2142312690523,152.69995122628558,8.64333438873291,11.41385269165039
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.997610213411612,0.032451853098339575,0.7542927071836641,13.220005897924523,104.51645117353672,convergence,50351.76512521012,-601.7346256790642,741.1508667325946,28.419353485107425,17.404136657714844
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.3933562122917693,0.053760288004592975,1.165590455948703,6.1320755505821145,207.37225573778767,convergence,50456.281576383655,247.49156248739334,-393.3527418056427,19.68178367614746,14.434064865112305
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-17,14,2.9611056245848784,1.6516530061415224,0.9871937579496305,6.455806101579485,-45.17578964480876,slow_convergence,50351.76512521012,-362.7532867134627,412.35092340123765,17.58695411682129,15.273459434509276
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-18,14,-3.1154066227971113,-0.8759895195081573,1.0469804388799806,5.963186379561934,41.19306672380667,max_holding,50351.76512521012,109.17199808333547,-142.1532626740995,21.89972305297852,17.608875274658203
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214314,-0.07590403819774219,1.165590455948703,6.1320755505821145,168.86020767632564,convergence,50663.65383212144,244.01640153117563,-387.2423309970666,19.962081909179688,14.661824226379396
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,458.5285176201503,convergence,50456.281576383655,714.1038977446021,-735.2037243740571,13.363465309143066,14.434064865112305
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-26,6,2.8164498151123922,-0.16845548324457124,0.959418377596196,5.1524661102392395,49.71690506643619,convergence,50659.67110920043,-140.6509792082723,118.4339897387148,13.606966972351074,15.503714561462402
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-06-01,19,3.143602106616532,1.6768898038147,-0.8413367668101543,11.310806781235772,-597.6856254153986,slow_convergence,50351.76512521012,-271.30540315756394,270.12847299992654,60.05229187011719,50.74433135986328
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,463.1553933713417,convergence,50739.09111414795,745.2622940462776,-756.4652709138645,12.804757118225098,14.028374671936035
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.8364093276848505,-0.12589099029740142,1.165590455948703,6.1320755505821145,186.18616175560624,convergence,50739.09111414795,263.65357846164477,-411.19549410086813,18.47528648376465,13.80773639678955
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-3.740274331451228,-0.21214105073511333,1.165590455948703,6.1320755505821145,360.4072867919513,convergence,51388.4326692749,243.03940258359583,-365.25549510878216,20.04232788085937,15.544404029846191
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-5.238267862887816,0.07367358075858786,1.1493583890371042,8.273978147465257,149.4206876359441,convergence,51388.4326692749,84.87670228531788,-153.38809069726693,24.4411563873291,15.544404029846191
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-20,15,-3.734544857070711,-0.39739972370873344,1.1120283439561278,6.150057843900465,621.4164872230635,max_holding,51388.4326692749,698.8224344312098,-682.6880095442482,13.65569019317627,15.544404029846191
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089453573,0.23360184092903905,1.0479223703362872,14.580256609700431,-20.876695015456903,convergence,51388.4326692749,-169.73523961996662,194.92096403658562,22.256948471069336,20.309919357299805
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-29,21,3.172578083342242,0.16080677957030512,1.2110830782653645,12.362511392812893,279.49950500609225,convergence,51388.4326692749,-1573.7467628181469,870.1378273971671,8.62147045135498,18.88435173034668
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-14,11,-3.276747590972535,-1.730517683851326,0.9510986122103829,7.302834201561681,46.24553283736321,slow_convergence,52778.29994091649,779.5667403478624,-237.38174678032257,16.191743850708008,50.57374954223633
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-04-07,2011-04-20,9,-3.15383237814351,-1.6128435221051864,0.8015600438871174,5.816031226812864,48.344180139893645,slow_convergence,52778.29994091649,505.49311036116006,-620.8740099090209,32.94255447387695,21.498348236083984
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-21,2011-04-28,4,-2.8692458457319137,-0.1695013353984962,0.776336322478613,10.479668817029314,55.07599462012689,convergence,52872.88965389375,324.00493887159274,-106.48067087320065,10.013409614562988,23.654443740844727
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-04-28,9,2.8246293409681216,2.434401664371904,0.9953879383695512,5.657773271086196,-353.75316602756766,slow_convergence,52824.54547375385,-668.0037153673845,447.10973366099705,22.506866455078125,33.47126770019531
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-05-03,2011-05-18,11,-2.93866501196685,-1.9908425802500809,1.0519786717793544,6.81761841862078,-27.97341086697864,slow_convergence,52574.212482486306,86.53007552934662,-95.3071533181606,21.11987495422364,20.17157745361328
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-05-03,2011-05-19,12,2.8778470175543296,1.4705577799292129,0.9877126871892167,5.34474139398633,37.06971673245857,slow_convergence,52574.212482486306,-267.4506041541821,423.0364419623534,33.821659088134766,21.11987495422364
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-03,2011-06-02,21,2.8097045150971622,1.4103258261102825,0.7513838308993663,13.162862933816777,-84.4570073853844,slow_convergence,52574.212482486306,-680.5140886264629,554.6334480829122,25.17113494873047,23.20575523376465
EWS_EWT,EWS,EWT,ASIA_DEV,SHORT,2012-04-20,2012-05-15,17,2.940358586976749,0.1419965470164906,0.773678206914459,8.231161658733956,372.77735864464563,convergence,52498.851780966404,-1139.8782335614296,894.0338229019993,14.838430404663086,14.637025833129885
