trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,slow_convergence_exits,convergence_exits,max_holding_exits,stop_loss_time_exits
2009,16,6,2,33.33333333333333,195.97736838656374,50195.977368386564,3.0,2.0,1.0,
2010,15,15,13,86.66666666666667,2545.7956521681244,52741.77302055468,,11.0,4.0,
2011,9,7,4,57.14285714285714,20.7711138787148,52762.54413443339,2.0,2.0,3.0,
2012,10,3,2,66.66666666666666,358.0975455754045,53120.6416800088,1.0,1.0,1.0,
2013,6,2,1,50.0,369.09516083641694,53489.73684084522,1.0,1.0,,
2014,8,2,1,50.0,427.0248866841676,53916.76172752938,,1.0,1.0,
2015,4,0,0,0.0,0.0,53916.76172752938,,,,
2016,13,4,4,100.0,709.553626681359,54626.31535421073,,1.0,3.0,
2017,11,5,5,100.0,980.1562795350666,55606.47163374581,,3.0,2.0,
2018,10,6,4,66.66666666666666,916.1885618504441,56522.660195596254,,3.0,3.0,
2019,5,2,1,50.0,-94.49176469132607,56428.16843090493,1.0,,1.0,
2020,4,1,1,100.0,1183.2249013170497,57611.39333222198,,1.0,,
2021,4,4,1,25.0,-33.09832471744403,57578.295007504545,3.0,1.0,,
2022,6,6,4,66.66666666666666,699.3453781687206,58277.640385673265,1.0,1.0,3.0,1.0
2023,5,3,1,33.33333333333333,-595.3924762784425,57682.24790939483,2.0,1.0,,
2024,8,6,2,33.33333333333333,-788.6103762083591,56893.63753318647,1.0,1.0,3.0,1.0
