pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-04-20,1,2.9976102134116283,3.998506795134644,0.7542927071836641,13.220005897924523,-133.29348242023786,stop_loss
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-20,2010-05-06,12,3.998506795134644,0.03245185309833962,0.7542927071836641,13.220005897924523,157.27094328059812,convergence
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-16,2010-05-10,16,2.3680403293990517,0.8393739543350752,0.9871937579496305,6.455806101579485,-79.94689801055048,max_holding
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-04-20,2010-05-19,21,2.35182447280744,0.90005493558219,1.1513248086480323,8.75111304967419,7.038096927706718,max_holding
VUG_IYW,VUG,IYW,US_GROWTH,LONG,2010-05-17,2010-05-20,3,-2.396969202420416,-3.762509275486869,0.7517202478963091,11.35054334586095,-183.8938129021179,stop_loss
SPYG_IYW,SPYG,IYW,US_GROWTH,LONG,2010-05-14,2010-05-20,4,-2.4424761762521268,-3.805614713985378,0.7768694252315248,11.081323926840732,-189.02342202116446,stop_loss
VUG_VGT,VUG,VGT,US_GROWTH,LONG,2010-05-18,2010-05-20,2,-2.207230531012364,-3.8353677022688,0.7508098820203868,10.874557081946902,-168.10088309593743,stop_loss
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,455.0049386425219,convergence
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-12,2010-05-26,10,2.393630730388142,-0.16845548324457124,0.959418377596196,5.1524661102392395,147.24931450189212,convergence
SPYG_IYW,SPYG,IYW,US_GROWTH,LONG,2010-05-20,2010-06-14,16,-3.805614713985378,-0.2391034621271531,0.7768694252315248,11.081323926840732,148.19409575597967,convergence
QQQ_SPYG,QQQ,SPYG,US_GROWTH,SHORT,2010-05-05,2010-06-15,28,2.4275481668471453,0.7079212981589788,1.147608440265171,11.201324831369739,-120.50949472777535,max_holding
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.5246920383016986,-0.21829242944253582,1.1120283439561278,6.150057843900465,319.15070791099856,convergence
XLI_IYT,XLI,IYT,INDUSTRIALS,LONG,2010-05-26,2010-06-15,13,-2.531331066477296,-2.031643653152195,0.9511879156423378,5.268492189267281,-214.23548478802712,max_holding
VUG_VGT,VUG,VGT,US_GROWTH,LONG,2010-05-20,2010-06-29,27,-3.8353677022688,-1.7954662581122276,0.7508098820203868,10.874557081946902,-139.00949693144844,max_holding
VUG_IYW,VUG,IYW,US_GROWTH,LONG,2010-05-20,2010-06-30,28,-3.762509275486869,-1.5041655245239611,0.7517202478963091,11.35054334586095,-119.90841848658354,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2010-07-01,2010-07-08,4,-2.5067453747975437,-0.20957218718425147,0.7542927071836641,13.220005897924523,229.52002089107418,convergence
