trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,convergence_exits,max_holding_exits,stop_loss_exits,period_end_exits
2010,7,9,8,88.88888888888889,12098.00777175864,9.0,,,
2011,6,9,6,66.66666666666666,1091.9939956166327,4.0,5.0,,
2012,3,1,1,100.0,1015.7771977770102,1.0,,,
2013,3,4,3,75.0,2147.604314115817,3.0,1.0,,
2014,2,1,1,100.0,1224.5604838822628,1.0,,,
2015,3,0,0,0.0,0.0,,,,
2016,9,15,9,60.0,-57.4337929055805,6.0,9.0,,
2017,7,6,5,83.33333333333334,2418.182322924883,5.0,1.0,,
2018,2,4,0,0.0,-2839.8777812687053,,2.0,1.0,1.0
2019,3,5,3,60.0,1339.987001083533,1.0,4.0,,
2020,2,3,3,100.0,4711.467955255806,3.0,,,
2021,4,4,2,50.0,-69.36959553231475,2.0,2.0,,
2022,3,4,3,75.0,-584.9448687540801,2.0,2.0,,
2023,3,3,2,66.66666666666666,-1563.7230529048811,2.0,1.0,,
2024,2,3,1,33.33333333333333,-4499.1711347368155,,2.0,1.0,
