trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,convergence_exits,max_holding_exits,stop_loss_exits,period_end_exits
2010,7,9,8,88.88888888888889,36294.0233152759,9.0,,,
2011,6,9,6,66.66666666666666,3275.9819868498976,4.0,5.0,,
2012,3,1,1,100.0,3047.3315933310314,1.0,,,
2013,3,4,3,75.0,6442.812942347454,3.0,1.0,,
2014,2,1,1,100.0,3673.681451646789,1.0,,,
2015,3,0,0,0.0,0.0,,,,
2016,9,15,9,60.0,-172.30137871675288,6.0,9.0,,
2017,7,6,5,83.33333333333334,7254.546968774649,5.0,1.0,,
2018,2,4,0,0.0,-8519.63334380612,,2.0,1.0,1.0
2019,3,5,3,60.0,4019.961003250595,1.0,4.0,,
2020,2,3,3,100.0,14134.403865767423,3.0,,,
2021,4,4,2,50.0,-208.10878659694367,2.0,2.0,,
2022,3,4,3,75.0,-1754.8346062622377,2.0,2.0,,
2023,3,3,2,66.66666666666666,-4691.169158714643,2.0,1.0,,
2024,2,3,1,33.33333333333333,-13497.513404210444,,2.0,1.0,
