trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits,period_end_exits
2010,15,43,14,32.55813953488372,1129.4991723685487,51129.499172368545,32.0,8.0,3.0,
2011,7,12,2,16.666666666666664,-285.0565812764009,50844.44259109214,11.0,,1.0,
2012,10,6,1,16.666666666666664,48.82243398665018,50893.2650250788,5.0,1.0,,
2013,5,1,1,100.0,231.76496577025574,51125.029990849056,,,1.0,
2014,7,2,1,50.0,108.27032446087021,51233.30031530993,1.0,1.0,,
2016,10,10,3,30.0,-186.83842542162944,51046.4618898883,8.0,,2.0,
2017,9,3,2,66.66666666666666,172.0749153151125,51218.53680520341,1.0,1.0,1.0,
2018,8,29,3,10.344827586206897,-681.5001014409061,50537.03670376249,26.0,1.0,1.0,1.0
2022,5,14,4,28.57142857142857,-433.6049692321489,50103.43173453034,13.0,,1.0,
2024,6,13,4,30.76923076923077,-177.52354105380718,49925.90819347654,11.0,1.0,1.0,
