tickers,basket_size,cointegration_rank,score,trace_stat_r0,crit_95_r0,eigenvalue_0,hedge_ratios
"SPY,XLC,VOO,IVV",4,2,38.41435491350886,660.6210824028367,47.8545,0.24163250420575288,"[1.0, 0.0113, 49.1611, -50.1918]"
"XLC,HYG,VOO,IVV",4,2,28.840642907683208,507.9060153419087,47.8545,0.25120032934124015,"[1.0, -1.2117, 2532.8536, -2534.6753]"
"XLC,VOO,IVV",3,1,28.723543853538118,457.7208925072036,29.7961,0.2413171275622407,"[1.0, 3868.1865, -3870.984]"
"XLP,XLC,VOO,IVV",4,1,19.77690664505989,521.0614895230093,47.8545,0.2619380639966306,"[1.0, 0.1957, -583.8218, 583.3082]"
"XLC,XOP,VOO,IVV",4,1,19.356174237047718,510.99452001339995,47.8545,0.2606034330936701,"[1.0, 0.3112, 1614.8861, -1616.749]"
"XLC,VOO,IVV,SPLV",4,1,19.209582120289365,507.48697378769367,47.8545,0.25696136094651395,"[1.0, -26562.0028, 26558.4938, 30.3669]"
"XLC,VDE,VOO,IVV",4,1,19.148269851859386,506.0199398129025,47.8545,0.25867535579122536,"[1.0, 0.3353, 1293.802, -1295.6098]"
"XLE,XLC,VOO,IVV",4,1,19.105567118540133,504.9981808370894,47.8545,0.2582589896487807,"[1.0, 2.934, 3687.5892, -3692.8527]"
"XLU,XLC,VOO,IVV",4,1,19.00565479567096,502.60755370971793,47.8545,0.25363168111667156,"[1.0, 0.0073, -1309.4815, 1309.6161]"
"XLC,XLRE,VOO,IVV",4,1,18.96437735382303,501.6198980392621,47.8545,0.25465732146664244,"[1.0, -2.0402, 3538.0142, -3539.6078]"
"XLC,VNQ,VOO,IVV",4,1,18.84423985586051,498.7453380911384,47.8545,0.25263664627362303,"[1.0, -1.4528, 3244.4962, -3246.3709]"
"XLC,VOO,IVV,EWJ",4,1,18.60245925782907,492.96019327689066,47.8545,0.24608124548774385,"[1.0, -6801.0423, 6805.8284, -5.1953]"
"XLC,SOXX,VOO,IVV",4,1,18.479388291920404,490.01544350785247,47.8545,0.25023260499762906,"[1.0, -1.6316, 3104.9098, -3104.4605]"
"XLC,IBB,VOO,IVV",4,1,18.403363638411964,488.1963826171927,47.8545,0.2495465236319687,"[1.0, -0.7725, 2314.4321, -2316.1898]"
"XLC,XME,VOO,IVV",4,1,18.364612784137254,487.2691812392481,47.8545,0.24938308441706958,"[1.0, 0.5161, 1852.3893, -1854.8158]"
"XLC,XHB,VOO,IVV",4,1,18.336419000305174,486.594581525052,47.8545,0.24400240175311072,"[1.0, 1.7702, 5143.6306, -5149.6339]"
"XLC,VGT,VOO,IVV",4,1,18.333916889733338,486.53471289987203,47.8545,0.24963027991036219,"[1.0, -1.8599, 2633.1992, -2632.7207]"
"XLC,ITB,VOO,IVV",4,1,18.27841157958387,485.20662346759815,47.8545,0.24328054370578395,"[1.0, 0.6491, 4140.1853, -4144.0954]"
"XLC,SMH,VOO,IVV",4,1,18.22341698493882,483.8907540528773,47.8545,0.242830913384276,"[1.0, -0.6835, 3526.8269, -3528.1077]"
"XLY,XLC,VOO,IVV",4,1,18.196517480590444,483.2471228874577,47.8545,0.246217413696999,"[1.0, -0.8965, -1796.9435, 1797.7849]"
