pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-04-06,2010-04-29,17,2.0259819357711875,1.0603800166266186,1.1513248086480323,8.75111304967419,2.2128286072750782,max_holding
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-16,2010-05-04,12,2.3680403293990517,2.411217877580544,0.9871937579496305,6.455806101579485,-149.8831343569232,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-15,2010-05-06,15,2.0407901852156924,0.03245185309833962,0.7542927071836641,13.220005897924523,12.799715172520735,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-4.980326179468041,-0.44495453257098927,1.1120283439561278,6.150057843900465,244.48213116019798,convergence
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-05-04,2010-05-20,12,2.411217877580544,0.40159029958750303,0.9871937579496305,6.455806101579485,111.77556269141714,max_holding
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-12,2010-05-21,7,-2.0250709862185605,0.007401764586787833,1.1120283439561278,6.150057843900465,83.1142090347616,convergence
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-12,2010-05-26,10,2.393630730388142,-0.16845548324457124,0.959418377596196,5.1524661102392395,73.62465725094606,max_holding
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-05-11,2010-06-02,15,2.0015366296611607,0.33076738118226523,1.1513248086480323,8.75111304967419,146.80631111568076,convergence
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-05-21,2010-06-03,8,2.0127795966033366,0.2775946326017106,1.1493583890371042,8.273978147465268,57.77613763317619,convergence
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-06-04,2010-06-15,7,2.0697119992844204,-0.07809961496162138,0.9871937579496305,6.455806101579485,244.26785495134482,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.5246920383016986,-0.21829242944253582,1.1120283439561278,6.150057843900465,159.57535395549928,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-06-21,2010-06-24,3,2.111825070492867,0.10156553664403452,0.7542927071836641,13.220005897924523,89.15570683887597,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2010-06-30,2010-07-08,5,-2.0450678946540446,-0.20957218718425147,0.7542927071836641,13.220005897924523,80.57482568326168,convergence
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-5.238267862887816,-0.45087927649210385,1.1493583890371042,8.273978147465268,298.09161535738326,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-15,12,-3.734544857070711,-0.7302222878905061,1.1120283439561278,6.150057843900465,284.48304210159216,max_holding
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-19,13,2.2088094377638616,0.40384465405177433,1.1513248086480323,8.75111304967419,22.897410670779355,convergence
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-17,2010-07-29,29,2.498478524301233,0.23360184092903696,1.0479223703362872,14.580256609700431,-47.349809100995124,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-08-05,2010-08-12,5,2.2952261836854944,0.49763416506897795,0.7542927071836641,13.220005897924523,80.63759019382364,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-03-30,2011-04-14,11,-2.5087304957518994,-1.946103979027707,0.8015600438871172,5.816031226812846,-92.39461092599748,max_holding
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-03-31,2011-04-18,12,-2.034241713672125,-1.8389867186847524,0.8769183308424208,6.088859880387083,-70.0739041288115,max_holding
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-19,14,-3.276747590972535,-1.8851942321725488,0.9510986122103829,7.302834201561681,-57.41025188340171,max_holding
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2011-04-21,2011-04-27,3,-2.4103419970560283,0.07276111431213898,0.7513838308993663,13.162862933816777,58.97659797521086,convergence
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-15,2011-04-28,8,-2.7259758210193725,-0.1695013353984614,0.7763363224786131,10.479668817029296,59.45084732428673,convergence
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-04-27,2011-05-11,10,2.301540995637313,1.0205071062778635,0.9877126871892167,5.344741393986324,-5.643211328570018,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2011-05-17,2011-05-23,4,2.567470495866097,0.38721693513154704,0.7763363224786131,10.479668817029296,75.42698137913975,convergence
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-03,2011-06-09,26,2.809704515097158,0.7461998184545477,0.7513838308993663,13.162862933816777,-0.5238340095808205,max_holding
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-06-06,2011-06-13,5,-2.125895756997817,-0.4941043586081258,0.8769183308424208,6.088859880387083,81.52523681185988,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-06-20,2011-06-29,7,-2.7967000677265688,-0.2652600739188377,0.8015600438871172,5.816031226812846,87.91253439042164,convergence
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-06-16,2011-07-05,12,-2.0794954300640818,-1.0788567908251345,0.8769183308424208,6.088859880387083,-12.967606976299813,max_holding
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-07-01,2011-07-25,15,2.0403728950215814,0.3462167758524743,0.7513838308993663,13.162862933816777,34.85064346065024,convergence
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2011-06-29,2011-07-25,17,2.119803988625056,0.09807898858042913,0.7763363224786131,10.479668817029296,34.01184858666831,convergence
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-07-11,2011-07-27,12,-2.0923889445709065,-1.0935034494490856,0.8769183308424208,6.088859880387083,-24.0882247678495,max_holding
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2011-08-05,2011-08-08,1,-2.2981206747734615,-4.3033122471894965,0.7513838308993663,13.162862933816777,-177.19863292864167,stop_loss
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-08-05,2011-08-08,1,-2.305948256424924,-4.32966855753979,0.7763363224786131,10.479668817029296,-161.213834744637,stop_loss
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2011-08-08,2011-08-15,5,-4.3033122471894965,-0.49788523543023044,0.7513838308993663,13.162862933816777,245.26228920894334,convergence
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-08-03,2011-08-19,12,-2.275927639283242,-1.7892460463824114,0.8769183308424208,6.088859880387083,-153.1436408584634,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-08-08,2011-08-25,13,-4.32966855753979,-0.23546941421798984,0.7763363224786131,10.479668817029296,205.1199720299591,convergence
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-08-22,2011-09-08,12,-2.133359232638689,-0.9281880958739095,0.8769183308424208,6.088859880387083,103.58303508812465,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-09-22,2011-09-29,5,-2.3070806739974765,-0.3826733517266203,0.7763363224786131,10.479668817029296,146.22801724268072,convergence
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2011-09-22,2011-09-30,6,-2.224450424023943,-0.3931834644787113,0.7513838308993663,13.162862933816777,122.33387831337186,convergence
EWU_EWI,EWU,EWI,EUROPE,SHORT,2012-04-02,2012-04-10,5,2.1753921624176735,-0.03159864536623763,0.31939423751391827,5.38508961328313,197.88946039214756,convergence
EWP_EWN,EWP,EWN,EUROPE,LONG,2012-03-29,2012-04-16,11,-2.2389436106268774,-2.1099258872369826,0.9212682986793188,5.872372323707213,-268.40167097596367,max_holding
EWQ_EWP,EWQ,EWP,EUROPE,SHORT,2012-04-03,2012-04-30,18,2.077196216481165,1.5050138949348095,1.1519125195633637,9.01178160860021,-242.6763323080334,max_holding
EWP_EWN,EWP,EWN,EUROPE,LONG,2012-04-16,2012-05-01,11,-2.1099258872369826,-1.4971412031517457,0.9212682986793188,5.872372323707213,-129.45924053650677,max_holding
EWU_EWI,EWU,EWI,EUROPE,SHORT,2012-04-18,2012-05-02,10,2.6778483173748673,2.56641015454234,0.31939423751391827,5.38508961328313,-174.9155771702708,max_holding
EWH_EWT,EWH,EWT,ASIA_DEV,SHORT,2012-04-20,2012-05-07,11,2.1558440576519864,0.40838141460782085,0.8435806360539525,6.647066686906392,83.02773752288964,convergence
EWU_EWN,EWU,EWN,EUROPE,SHORT,2012-04-27,2012-05-08,7,2.496528413611111,0.1566559664184258,0.4710979215461726,5.027406625106244,119.80211657653604,convergence
EWU_EWI,EWU,EWI,EUROPE,SHORT,2012-05-02,2012-05-11,7,2.56641015454234,0.3150190064002821,0.31939423751391827,5.38508961328313,240.39176802594739,convergence
EWU_EWN,EWU,EWN,EUROPE,LONG,2012-05-17,2012-06-01,10,-2.9248948812504203,-2.0922320932355145,0.4710979215461726,5.027406625106244,-88.63918474323356,max_holding
EWH_EWT,EWH,EWT,ASIA_DEV,LONG,2012-05-17,2012-06-04,11,-2.6956560648076553,-0.462350523095248,0.8435806360539525,6.647066686906392,101.57771977770108,convergence
EWP_EWN,EWP,EWN,EUROPE,LONG,2012-05-29,2012-06-08,8,-2.066411127556913,-0.4993023192665579,0.9212682986793188,5.872372323707213,360.8000471775983,convergence
EWU_EWI,EWU,EWI,EUROPE,LONG,2012-06-01,2012-06-12,7,-2.0960083880377978,0.21405690647337824,0.31939423751391827,5.38508961328313,370.64669312288663,convergence
EWU_EWN,EWU,EWN,EUROPE,LONG,2012-06-01,2012-06-12,7,-2.0922320932355145,0.14875642025325,0.4710979215461726,5.027406625106244,280.92094874383434,convergence
EWQ_EWP,EWQ,EWP,EUROPE,SHORT,2012-05-29,2012-06-13,11,2.4548065025613215,0.39102241832602286,1.1519125195633637,9.01178160860021,396.04393457981473,convergence
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-04-04,2013-04-19,11,2.255903609396748,3.180392178670538,0.8963190975894659,5.861134508198013,-238.49843795508974,max_holding
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-04-19,2013-05-06,11,3.180392178670538,1.657968562967585,0.8963190975894659,5.861134508198013,29.336460008040167,max_holding
EWU_EWN,EWU,EWN,EUROPE,SHORT,2013-04-25,2013-05-16,15,2.2003080347647295,1.7758546323002973,0.6269020052943004,7.639732197056798,-98.32531940619326,max_holding
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-05-08,2013-05-23,11,2.0099204049021124,0.8182611021981155,0.8963190975894659,5.861134508198013,89.4563907215592,max_holding
EWI_EWP,EWI,EWP,EUROPE,SHORT,2013-05-14,2013-06-07,17,2.201358796230143,1.075614069199528,0.7744935244718194,8.965892917483709,-39.834704357998206,max_holding
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-06-25,2013-07-11,11,2.0183617446338267,1.9896287290482022,0.8963190975894659,5.861134508198013,-94.57201007850497,max_holding
EWU_EWN,EWU,EWN,EUROPE,LONG,2013-06-20,2013-07-12,15,-2.5059762993808867,-1.1248149202983868,0.6269020052943004,7.639732197056798,14.232292315677995,max_holding
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-07-12,2013-07-19,5,2.004314500875764,-0.036760445524903866,0.8963190975894659,5.861134508198013,174.79064066251368,convergence
EWU_EWN,EWU,EWN,EUROPE,SHORT,2013-09-09,2013-09-30,15,2.2087773250194958,0.9693742329956926,0.6269020052943004,7.639732197056798,8.876261777879026,max_holding
XOP_OIH,XOP,OIH,ENERGY,SHORT,2014-04-16,2014-04-25,6,2.365996147292437,0.4372931787088547,1.1127426498537238,8.015689327240782,71.73413941756793,convergence
XOP_OIH,XOP,OIH,ENERGY,LONG,2014-06-27,2014-07-22,16,-2.100377875867316,-1.8554483492641127,1.1127426498537238,8.015689327240782,-153.8941827834813,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2015-04-29,2015-05-21,16,2.17390760847265,1.1252019383003244,0.8079293188693448,8.287366247157731,2.582831877663587,max_holding
VGK_EWP,VGK,EWP,EUROPE,SHORT,2016-03-31,2016-04-21,15,2.0050674639919817,0.44387984549534376,0.6479289929251333,8.41601727703915,20.442290448851683,convergence
EWJ_DXJ,EWJ,DXJ,ASIA_DEV,SHORT,2016-04-07,2016-04-25,12,2.1076019958704335,1.2140951443534318,0.7525620687965349,6.271514300868031,-9.401038984593775,max_holding
