leg_x,leg_y,total_pnl,n_trades,avg_pnl,pnl_std,convergence_pct,sharpe
EZU,EWP,593.05,6,98.84,70.21,100.0,1.41
VB,JNK,355.07,5,71.01,60.0,100.0,1.18
IJH,XRT,336.44,4,84.11,368.33,75.0,0.23
MDY,XRT,333.0,4,83.25,369.22,75.0,0.23
JNK,DXJ,303.94,4,75.98,33.68,100.0,2.26
VB,HYG,254.52,4,63.63,61.38,100.0,1.04
VEA,EZA,226.61,5,45.32,198.6,60.0,0.23
HYG,EWQ,207.82,3,69.27,4.01,100.0,17.27
VTI,PFF,179.83,3,59.94,56.43,100.0,1.06
VFH,XRT,151.41,4,37.85,70.16,100.0,0.54
RSP,DVY,127.64,4,31.91,11.16,100.0,2.86
VHT,XRT,94.71,5,18.94,174.51,80.0,0.11
XLY,IVW,81.54,4,20.39,91.57,75.0,0.22
JNK,EWG,26.71,4,6.68,37.58,75.0,0.18
XLY,SPYG,18.98,3,6.33,103.71,66.67,0.06
EWJ,EZA,-40.52,2,-20.26,204.71,100.0,-0.1
SHY,IGIB,-48.15,1,-48.15,,0.0,
HYG,EWC,-65.37,4,-16.34,157.37,75.0,-0.1
VV,DVY,-73.25,3,-24.42,21.1,100.0,-1.16
VTI,DVY,-78.99,7,-11.28,37.6,100.0,-0.3
XLY,XLB,-81.03,4,-20.26,176.35,75.0,-0.11
HYG,EWJ,-133.18,3,-44.39,41.4,66.67,-1.07
DVY,PFF,-166.45,3,-55.48,100.54,66.67,-0.55
XLI,IYT,-223.02,3,-74.34,151.49,66.67,-0.49
DIA,IYT,-434.01,4,-108.5,227.52,50.0,-0.48
IWF,VFH,-579.7,7,-82.81,177.99,57.14,-0.47
