leg_x,leg_y,correlation,pair_bucket,corr_threshold_used,sector_x,sector_y
IVV,VOO,0.9988549679527905,Same Sector,0.7,Broad Market,Broad Market
SPY,VOO,0.9987313727405962,Same Sector,0.7,Broad Market,Broad Market
VV,VOO,0.9980368798159768,Same Sector,0.7,Broad Market,Broad Market
IWB,VOO,0.9975227480897129,Same Sector,0.7,Broad Market,Broad Market
GLD,IAU,0.996390211217467,Same Sector,0.7,Commodities,Commodities
VTI,IWB,0.9958273913709061,Same Sector,0.7,Broad Market,Broad Market
IWB,IVV,0.9957083487981204,Same Sector,0.7,Broad Market,Broad Market
VTI,VOO,0.9955363960555638,Same Sector,0.7,Broad Market,Broad Market
SPY,IVV,0.9948463414177448,Same Sector,0.7,Broad Market,Broad Market
IWF,SCHG,0.9941923314543217,Same Sector,0.7,Factor,Factor
VUG,SCHG,0.9941699800492371,Same Sector,0.7,Factor,Factor
VTI,IVV,0.9938289433992866,Same Sector,0.7,Broad Market,Broad Market
IWB,SPY,0.9932355670390035,Same Sector,0.7,Broad Market,Broad Market
VTI,SPY,0.9930582568636035,Same Sector,0.7,Broad Market,Broad Market
IJH,MDY,0.9930449662380436,Same Sector,0.7,Broad Market,Broad Market
VTV,SCHV,0.9926785876917394,Same Sector,0.7,Factor,Factor
IWB,VV,0.9924189079506937,Same Sector,0.7,Broad Market,Broad Market
IVV,VV,0.9922064248657295,Same Sector,0.7,Broad Market,Broad Market
IWD,SCHV,0.9920100149216946,Same Sector,0.7,Factor,Factor
VTI,VV,0.9913235738434153,Same Sector,0.7,Broad Market,Broad Market
VDE,XLE,0.9911968686060666,Same Sector,0.7,Energy,Energy
VOO,OEF,0.9909101053634486,Same Sector,0.7,Broad Market,Broad Market
VUG,IWF,0.990782809497463,Same Sector,0.7,Factor,Factor
VEA,EFA,0.99045871143327,Same Sector,0.7,International,International
IWD,VTV,0.990378930359075,Same Sector,0.7,Factor,Factor
VGT,IYW,0.9897668634311744,Same Sector,0.7,Technology,Technology
IYR,VNQ,0.989692330865435,Same Sector,0.7,Real Estate,Real Estate
IVE,VTV,0.9894673106446142,Same Sector,0.7,Factor,Factor
SPY,VV,0.9892713653070003,Same Sector,0.7,Broad Market,Broad Market
IVW,SCHG,0.989012567651804,Same Sector,0.7,Factor,Factor
IWD,IVE,0.9885260324336553,Same Sector,0.7,Factor,Factor
IVE,SCHV,0.988512750125292,Same Sector,0.7,Factor,Factor
SCHV,VYM,0.9875121050943346,Same Sector,0.7,Factor,Factor
IVW,IWF,0.9869113023405307,Same Sector,0.7,Factor,Factor
IVV,OEF,0.986513293392502,Same Sector,0.7,Broad Market,Broad Market
IVW,VUG,0.9862424438391205,Same Sector,0.7,Factor,Factor
VB,IWM,0.9860391608504553,Same Sector,0.7,Broad Market,Broad Market
SPYG,SCHG,0.9857098934021816,Same Sector,0.7,Factor,Factor
EZU,FEZ,0.9853849089860562,Same Sector,0.7,International,International
SPY,OEF,0.9846761966358176,Same Sector,0.7,Broad Market,Broad Market
IWM,IJR,0.9840314395907112,Same Sector,0.7,Broad Market,Broad Market
VFH,XLF,0.982816449101192,Same Sector,0.7,Financials,Financials
IWB,OEF,0.9826773363397208,Same Sector,0.7,Broad Market,Broad Market
VGT,XLK,0.9817964818186656,Same Sector,0.7,Technology,Technology
VTV,VYM,0.9817400255123782,Same Sector,0.7,Factor,Factor
IJH,VB,0.9815024467741308,Same Sector,0.7,Broad Market,Broad Market
EEM,VWO,0.9814461261021669,Same Sector,0.7,International,International
VV,OEF,0.9814250459948796,Same Sector,0.7,Broad Market,Broad Market
IVW,SPYG,0.9809985050638317,Same Sector,0.7,Factor,Factor
VB,VBR,0.9809912910436934,Cross Sector,0.7,Broad Market,Factor
VUG,SPYG,0.9806167720063144,Same Sector,0.7,Factor,Factor
IWF,SPYG,0.9801304743912638,Same Sector,0.7,Factor,Factor
VTI,OEF,0.9794386523593049,Same Sector,0.7,Broad Market,Broad Market
RSP,SCHV,0.9789826336699925,Cross Sector,0.7,Broad Market,Factor
MDY,VB,0.9786704753359446,Same Sector,0.7,Broad Market,Broad Market
XLK,IYW,0.9783370927521937,Same Sector,0.7,Technology,Technology
EZU,EWQ,0.9783219792636287,Same Sector,0.7,International,International
RSP,IWD,0.9782656820030939,Cross Sector,0.7,Broad Market,Factor
IVE,VYM,0.97776194126906,Same Sector,0.7,Factor,Factor
VGK,EZU,0.9777178728254281,Same Sector,0.7,International,International
VEA,VGK,0.9771039900136699,Same Sector,0.7,International,International
EFA,VGK,0.9769238320557566,Same Sector,0.7,International,International
QQQ,IYW,0.9765327371743873,Cross Sector,0.7,Broad Market,Technology
GXC,FXI,0.9763529201157314,Same Sector,0.7,International,International
FEZ,EWQ,0.9761748131543555,Same Sector,0.7,International,International
IJR,VBR,0.9760964576118243,Cross Sector,0.7,Broad Market,Factor
SOXX,SMH,0.9759759829115298,Same Sector,0.7,Technology,Technology
VB,IJR,0.9757246810179354,Same Sector,0.7,Broad Market,Broad Market
VB,VBK,0.9756313017569341,Cross Sector,0.7,Broad Market,Factor
SCHV,SPYV,0.9753704570386514,Same Sector,0.7,Factor,Factor
RSP,IVE,0.9753157028382929,Cross Sector,0.7,Broad Market,Factor
QQQ,VGT,0.9743688367524044,Cross Sector,0.7,Broad Market,Technology
QQQ,SCHG,0.9741458188870453,Cross Sector,0.7,Broad Market,Factor
IJH,VBR,0.9737015878053005,Cross Sector,0.7,Broad Market,Factor
VHT,XLV,0.9727922199384934,Same Sector,0.7,Health Care,Health Care
VTI,RSP,0.9727269823140752,Same Sector,0.7,Broad Market,Broad Market
VGK,FEZ,0.9719621527388154,Same Sector,0.7,International,International
RSP,VTV,0.9716918025270121,Cross Sector,0.7,Broad Market,Factor
OEF,IVW,0.9716470253427028,Cross Sector,0.7,Broad Market,Factor
IVV,IVW,0.9714510207829176,Cross Sector,0.7,Broad Market,Factor
IVE,SPYV,0.9710062557629495,Same Sector,0.7,Factor,Factor
IWB,IVW,0.9709441214956558,Cross Sector,0.7,Broad Market,Factor
IWD,VYM,0.9709217737087484,Same Sector,0.7,Factor,Factor
IWM,VBR,0.9704814323855169,Cross Sector,0.7,Broad Market,Factor
MDY,VBR,0.9702448505776593,Cross Sector,0.7,Broad Market,Factor
VOO,IVW,0.9698307377767748,Cross Sector,0.7,Broad Market,Factor
VV,IVW,0.9696201221135189,Cross Sector,0.7,Broad Market,Factor
VGK,EWQ,0.9695222483722356,Same Sector,0.7,International,International
IWB,RSP,0.9691509032883819,Same Sector,0.7,Broad Market,Broad Market
VTV,SPYV,0.9682644906469702,Same Sector,0.7,Factor,Factor
OEF,SCHG,0.968081944879668,Cross Sector,0.7,Broad Market,Factor
SPY,IVW,0.9678680505021505,Cross Sector,0.7,Broad Market,Factor
RSP,IVV,0.9666973163758137,Same Sector,0.7,Broad Market,Broad Market
DIA,SCHV,0.966670484232453,Cross Sector,0.7,Broad Market,Factor
VTI,IVW,0.9666278055506319,Cross Sector,0.7,Broad Market,Factor
VV,SCHG,0.9665683532365128,Cross Sector,0.7,Broad Market,Factor
QQQ,VUG,0.9664768368073671,Cross Sector,0.7,Broad Market,Factor
IWD,SPYV,0.9661129399268694,Same Sector,0.7,Factor,Factor
IWB,IWF,0.9660372034121637,Cross Sector,0.7,Broad Market,Factor
SPY,DIA,0.9656943929640501,Same Sector,0.7,Broad Market,Broad Market
SCHG,VGT,0.9654956385107092,Cross Sector,0.7,Factor,Technology
IWM,VBK,0.9653564447647196,Cross Sector,0.7,Broad Market,Factor
VTI,IWD,0.9652417195482708,Cross Sector,0.7,Broad Market,Factor
QQQ,IWF,0.9651627883151592,Cross Sector,0.7,Broad Market,Factor
EZU,EWG,0.9648979894839301,Same Sector,0.7,International,International
RSP,IJH,0.9648794147364032,Same Sector,0.7,Broad Market,Broad Market
VOO,SPYG,0.9648045575511235,Cross Sector,0.7,Broad Market,Factor
IVV,DIA,0.9647263680834084,Same Sector,0.7,Broad Market,Broad Market
VV,IWF,0.9646822357160701,Cross Sector,0.7,Broad Market,Factor
EPP,EWA,0.96460713811016,Same Sector,0.7,International,International
VOO,IWF,0.9644486508511415,Cross Sector,0.7,Broad Market,Factor
IJH,IWM,0.9644053268424285,Same Sector,0.7,Broad Market,Broad Market
RSP,SPY,0.9643894031841185,Same Sector,0.7,Broad Market,Broad Market
IWB,SCHG,0.964358031977502,Cross Sector,0.7,Broad Market,Factor
IWB,VUG,0.9639979825084931,Cross Sector,0.7,Broad Market,Factor
IVV,IWD,0.9639398832603614,Cross Sector,0.7,Broad Market,Factor
IWB,IWD,0.963800514819574,Cross Sector,0.7,Broad Market,Factor
IVV,IWF,0.9637943437716842,Cross Sector,0.7,Broad Market,Factor
IVV,IVE,0.9637453192929002,Cross Sector,0.7,Broad Market,Factor
VTI,IWF,0.9635998547951294,Cross Sector,0.7,Broad Market,Factor
RSP,VV,0.9634229688849082,Same Sector,0.7,Broad Market,Broad Market
MDY,IWM,0.9630657803238238,Same Sector,0.7,Broad Market,Broad Market
VV,VUG,0.9628952371728098,Cross Sector,0.7,Broad Market,Factor
VTI,VUG,0.9624992420680974,Cross Sector,0.7,Broad Market,Factor
QQQ,XLK,0.9624180286461869,Cross Sector,0.7,Broad Market,Technology
IJH,IJR,0.9622799778442129,Same Sector,0.7,Broad Market,Broad Market
EFA,EZU,0.9622441804599908,Same Sector,0.7,International,International
SPY,IWD,0.9618698718522205,Cross Sector,0.7,Broad Market,Factor
VTI,SCHG,0.961799050127687,Cross Sector,0.7,Broad Market,Factor
OEF,IWF,0.9617866174678235,Cross Sector,0.7,Broad Market,Factor
SPY,SCHG,0.9617092141919836,Cross Sector,0.7,Broad Market,Factor
ILF,EWZ,0.9616833086720172,Same Sector,0.7,International,International
SPY,IWF,0.9615812334131462,Cross Sector,0.7,Broad Market,Factor
IWB,SPYG,0.9614047010596682,Cross Sector,0.7,Broad Market,Factor
RSP,MDY,0.9613947187775335,Same Sector,0.7,Broad Market,Broad Market
IWB,IVE,0.9609801357763357,Cross Sector,0.7,Broad Market,Factor
IVV,VUG,0.9609439283676542,Cross Sector,0.7,Broad Market,Factor
IVV,SCHG,0.960907890359617,Cross Sector,0.7,Broad Market,Factor
IVV,VTV,0.9608725199182332,Cross Sector,0.7,Broad Market,Factor
VTI,IVE,0.9608581839154031,Cross Sector,0.7,Broad Market,Factor
SCHG,IYW,0.96074129162676,Cross Sector,0.7,Factor,Technology
VV,SPYG,0.9607375436811795,Cross Sector,0.7,Broad Market,Factor
RSP,VOO,0.9604230985909332,Same Sector,0.7,Broad Market,Broad Market
FEZ,EWG,0.9602725511734473,Same Sector,0.7,International,International
VOO,SCHG,0.9601616858385825,Cross Sector,0.7,Broad Market,Factor
OEF,VUG,0.959976841732398,Cross Sector,0.7,Broad Market,Factor
MDY,IJR,0.9598303444579245,Same Sector,0.7,Broad Market,Broad Market
IWB,DIA,0.9597405932838455,Same Sector,0.7,Broad Market,Broad Market
VTI,SPYG,0.9594620180742113,Cross Sector,0.7,Broad Market,Factor
VTI,DIA,0.9594590761799616,Same Sector,0.7,Broad Market,Broad Market
SPY,VUG,0.9594292997883964,Cross Sector,0.7,Broad Market,Factor
VOO,VUG,0.9592303734596086,Cross Sector,0.7,Broad Market,Factor
VEA,EZU,0.9590280941050117,Same Sector,0.7,International,International
XHB,ITB,0.9588349080182884,Same Sector,0.7,Consumer Discretionary,Consumer Discretionary
SPY,IVE,0.9586903927224044,Cross Sector,0.7,Broad Market,Factor
VOO,DIA,0.958530403983365,Same Sector,0.7,Broad Market,Broad Market
SCHG,XLK,0.9584912709655502,Cross Sector,0.7,Factor,Technology
VTI,VTV,0.9583632059825414,Cross Sector,0.7,Broad Market,Factor
IWF,VGT,0.9582364224607515,Cross Sector,0.7,Factor,Technology
IVV,SPYG,0.9581419469546086,Cross Sector,0.7,Broad Market,Factor
DIA,VTV,0.9580761865420309,Cross Sector,0.7,Broad Market,Factor
VUG,VGT,0.9580638715412151,Cross Sector,0.7,Factor,Technology
IWB,VTV,0.9580502375021284,Cross Sector,0.7,Broad Market,Factor
SPYV,VYM,0.9576269064099912,Same Sector,0.7,Factor,Factor
VV,IWD,0.9575579621670564,Cross Sector,0.7,Broad Market,Factor
SPY,SPYG,0.9572302632324561,Cross Sector,0.7,Broad Market,Factor
OEF,SPYG,0.9571357533196229,Cross Sector,0.7,Broad Market,Factor
DIA,IWD,0.9567810280292766,Cross Sector,0.7,Broad Market,Factor
SPY,VTV,0.9565456732311125,Cross Sector,0.7,Broad Market,Factor
EFA,FEZ,0.956537095538799,Same Sector,0.7,International,International
QQQ,IVW,0.9565142576628096,Cross Sector,0.7,Broad Market,Factor
RSP,VYM,0.9564655991557384,Cross Sector,0.7,Broad Market,Factor
VV,IVE,0.9560908674576533,Cross Sector,0.7,Broad Market,Factor
